JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456487.6549,7.2,,,Vis.,BWX,,58,79,11836UOW,,,,Z,,,,Z UMA,RASC,STD,,,,
2456488.34,7.7,,,Vis.,BQ,,6.5,8.5,5832eg,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456488.38,7.5,,,Vis.,CJE,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2456488.3833,7.4,,,Vis.,LCR,,72,"""76,80""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2456488.47917,7.4,,,Vis.,KKAA,U,73,75,11282BOQ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456488.481,7.4,,,Vis.,TOO,,,,217.02,B7X50,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456488.6764,6.8,,,Vis.,CNT,,58,79,80302,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456489.36,7.7,,,Vis.,BQ,U,7.5,8.5,5821eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456489.3611,7.5,,,Vis.,PLP,,73,75,1009VWA,,,,Z,,,,Z UMa,,STD,,,,
2456489.37,7.6,,,Vis.,KAF,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456489.39375,7.6,,,Vis.,CPE,,73,79,2296fcr,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456489.4,7.2,,,Vis.,PEG,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2456489.4014,7.7,,,Vis.,ADI,U,73,79,11312D,,,,Z,,,,Z UMA,BAV,STD,,,,
2456489.59167,7.4,,,Vis.,SLH,,7.3,7.8,11713 ow,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456489.6,7.5,,,Vis.,MOW,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456489.609,7.4,,,Vis.,MHH,,7.3,7.9,10837cvo,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456490.3,7.6,,,Vis.,KOS,,7.3,7.9,1115ewe,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456490.325,7.7,,,Vis.,ATI,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456490.36,7.9,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456490.37,7.7,,,Vis.,BQ,B,7.5,8.5,5821eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456490.3889,7.5,,,Vis.,VFK,,72,80,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456490.438,7.4,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456490.45417,7.4,,,Vis.,KKAA,U,73,75,11282BOQ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456490.6,7.4,,,Vis.,BRJ,,73,75,8606GE,,,,Z,,,,Z UMa,,STD,,,,
2456490.616,7.8,,,Vis.,HKB,,72,80,12/97,,,,Z,,,,Z UMA,,STD,,,,
2456490.68611,7.6,,,Vis.,MCPA,,79,73,11282CSP,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456491.36,7.6,,,Vis.,BQ,B,7.5,,5561eq, 	3in 23x ,,,Z,,,,Z UMa,MCSE,STD,,,,
2456491.3986,7.6,,,Vis.,VFK,,72,80,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456491.43056,7.8,,,Vis.,AJV,,72,"""80,83""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2456491.471,7.6,,,Vis.,BLQ,,,,217.02,"""mean magnitude, magnification x16; R105""",,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456492.35069,7.7,,,Vis.,RZM,,75,79,1038gdt,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456492.39583,7.6,,,Vis.,SJAT,,78,73,AAVSO chart 12/97,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456492.4,7.6,,,Vis.,VED,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2456492.40833,7.6,,,Vis.,BANH,,7.3,7.9,11849ACY,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456492.41389,7.55,,,Vis.,BBI,,73,78,10241AVG,,,,Z,,,,Z UMA,VVS,STD,,,,
2456492.4229,7.6,,,Vis.,VFK,,72,80,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456492.4431,7.7,,,Vis.,GGU,,73,79,8287ACF,,,,Z,,,,Z UMA,KNVWS,STD,,,,
2456492.465,7.8,,,Vis.,MTON,U,,,217.02,11x80B,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456493.3,8.3,,,Vis.,HCS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456493.3576,7.6,,,Vis.,VFK,,72,80,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456493.4347,7.7,,,Vis.,HGUA,B,78,73,5749GD,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456494.341,7.8,,,Vis.,DNO,,75,79,12300AF,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456494.36,7.7,,,Vis.,BQ,BU,7.5,8.5,5821eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456494.3833,7.7,,,Vis.,VFK,,72,80,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456494.3896,7.6,,,Vis.,ACO,B,80,,AAVSO,,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2456494.48125,7.6,,,Vis.,KKAA,,75,79,11282BOQ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456495.36,8,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456495.36,7.9,,,Vis.,BQ,B,7.5,8.5,5621eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456495.4007,7.7,,,Vis.,VFK,,72,80,3722WFU,LEIPZIG 113/450,,,Z,,,,Z UMA,BAV,STD,,,,
2456496.3431,7.8,,,Vis.,DNO,,75,79,12300AF,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456496.36,7.9,,,Vis.,BQ,L,7.5,8.5,5821eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456496.3889,7.7,,,Vis.,VFK,,72,80,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456496.4229,7.9,,,Vis.,HGUA,,78,,5749GD,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456497.32,8,,,Vis.,BQ,BL,7.5,8.5,5621eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456497.3389,8,,,Vis.,DNO,,79,84,12300AT,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456497.3924,7.7,,,Vis.,VFK,,82,80,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456497.41736,7.3,,,Vis.,SJAT,,73,,AAVSO chart 12/97,,,,Z,,,,Z UMa,AAVSO,STD,,,,
2456497.60417,7.7,,,Vis.,CKB,,75,79,120714,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456498.3,8,,,Vis.,KOS,,7.9,8.4,1115ewe,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456498.36,8.2,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456498.4,7.9,,,Vis.,PEG,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2456498.4174,7.7,,,Vis.,HGUA,,73,78,5749GD,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456498.44444,7.7,,,Vis.,AJV,,72,"""80,83""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2456498.60764,8.1,,,Vis.,MDP,B,79,84,1264nui,,,,Z,,,,Z UMA,RASC,STD,,,,
2456498.6111,8.1,,,Vis.,HKB,,80,86,12/97,,,,Z,,,,Z UMA,,STD,,,,
2456499.35764,8,,,Vis.,RZM,,79,84,1038gdt,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456499.3577,7.9,,,Vis.,DNO,,75,79,12300AF,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456499.36,7.8,,,Vis.,BQ,UL,7.5,7.8,5821eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456499.406,8.2,,,Vis.,SJDA,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456499.432,7.5,,,Vis.,HUR,,V=C,,217.02,0,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2456499.442,7.7,,,Vis.,BLQ,,,,217.02,"""M, magnification x16; R105""",,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456499.6,8,,,Vis.,MOW,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456500.332,8,,,Vis.,ATI,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456500.34,8,,,Vis.,BFO,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456500.36,7.6,,,Vis.,BQ,L,7.5,,5821eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456500.429,8.1,,,Vis.,TOO,,,,217.02,B15X70,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456500.441,8.2,,,Vis.,MTON,B,,,217.02,11x80B,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456500.5125,7.75,,,Vis.,KKAA,U,75,78,11282BOQ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456500.6,7.9,,,Vis.,BRJ,,76,79,8606GE,,,,Z,,,,Z UMa,,STD,,,,
2456500.61181,7.5,,,Vis.,PRV,,73,75,12038AKC,Canon 15x50IS binocs,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456501.358,8.05,,,Vis.,DAT,,7.9,8.4,1285TLO,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456501.406,7.8,,,Vis.,ILE,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456502.35625,<7.9,,,Vis.,BANH,,7.9,7.9,11849ACY,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456502.36,8,,,Vis.,KAF,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456502.377,7.7,,,Vis.,MZS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456502.438,8.1,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456503.3458,7.5,,,Vis.,PLP,,73,79,1009VVX,,,,Z,,,,Z UMa,,STD,,,,
2456503.3555,8.1,,,Vis.,CSM,,0,,99999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456503.359,8.2,,,Vis.,LCR,,80,"""83,86""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2456503.36,7.7,,,Vis.,HDH,,75,79,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456503.3874,8,,,Vis.,DAT,,7.9,8.4,1285TLO,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456503.5,8,,,Vis.,VED,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2456503.597,8.4,,,Vis.,MHH,,7.9,8.4,10837cvo,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456503.625,8.1,,,Vis.,MCPA,,84,79,11282CSP,,,,Z,,,,Z UMa,AAVSO,STD,,,,
2456504.36,7.7,,,Vis.,BQ,L,7.5,8.5,5821eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456504.39236,7.85,,,Vis.,SJAT,,84,73,AAVSO chart 12/97,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456504.4,7.9,,,Vis.,PEG,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2456504.41458,7.8,,,Vis.,KKAA,,78,79,11282BOQ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456504.4375,8.2,,,Vis.,AJV,,80,"""83,86""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2456504.56181,7.9,,,Vis.,TYS,V,73,79,80515,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456504.75972,7.7,,,Vis.,AAP,,75,79,10364GY,,,,Z,,,,Z UMA,,STD,,,,
2456505.34,7.8,,,Vis.,BQ,L,7.5,8.5,5821eg,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456505.35833,8,,,Vis.,KHL,,76,83,SA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456505.36,8,,,Vis.,KAF,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456505.37,8,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456505.4153,8,,,Vis.,VFK,,72,80,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456505.4521,8,,,Vis.,HGUA,,78,84,5749GD,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456505.5,8,,,Vis.,SHS,,79,,6900QQ,,,,Z,,,,Z UMa,AAVSO,STD,,,,
2456506.3,7.8,,,Vis.,SJQ,,79,86,1834FQ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456506.3,8,,,Vis.,SLY,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456506.3,7.9,,,Vis.,KOS,,7.3,8.4,1115ewe,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456506.318,7.8,,,Vis.,ATI,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456506.34,8.1,,,Vis.,BQ,L,7.5,8.4,5621eg,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456506.34236,8,,,Vis.,RZM,,79,84,1038gdt,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456506.35,8.3,,,Vis.,JZO,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456506.3944,7.9,,,Vis.,BVE,,76,80,70924,,,,Z,,,,Z UMA,KNVWS,STD,,,,
2456506.3979,7.8,,,Vis.,VFK,,72,80,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456506.413,8.1,,,Vis.,SJDA,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456506.4181,7.7,,,Vis.,GGU,,73,79,8287ACF,,,,Z,,,,Z UMA,KNVWS,STD,,,,
2456506.424,8.3,,,Vis.,MTON,,,,217.02,11x80B,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456506.43,8.1,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456506.435,8.2,,,Vis.,TOO,,,,217.02,B15X70,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456506.438,7.3,,,Vis.,MEAJ,,,,217.02,B20X60,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456506.442,<7.6,,,Vis.,BARM,,,,217.02,Low Altitude; B10x50,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456506.444,8.3,,,Vis.,BLQ,,,,217.02,"""mean magnitude, magnification x16; R105""",,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456506.49375,7.7,,,Vis.,WJAA,B,75,78,6043ECT,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456506.59722,7.9,,,Vis.,CKB,,75,79,120714,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456507.35,8.1,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456507.3646,8.15,,,Vis.,DAT,,7.9,8.4,1285TLO,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456507.38264,8.1,,,Vis.,BBI,,79,84,10241AVG,,,,Z,,,,Z UMA,VVS,STD,,,,
2456507.3896,7.7,,,Vis.,SLUC,,7.3,7.9,11604BFE,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456507.4,7.8,,,Vis.,SYU,,73,79,10792AOL,,,,Z,,,,Z UMA,BAV,STD,,,,
2456507.4229,8,,,Vis.,BHS,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456507.42361,8,,,Vis.,MMH,,79,84,11604KZ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456507.45486,8.1,,,Vis.,KKAA,,79,84,11282BOQ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456508.32,8.2,,,Vis.,BQ,L,8.4,,5621wq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456508.35417,7.48,,,Vis.,SJAT,,79,73,AAVSO chart 12/97,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456508.3694,8.3,,,Vis.,LCR,,"""80,83""",87,AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2456508.4278,8.1,,,Vis.,HGUA,,78,84,5749GD,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456508.43611,7.8,,,Vis.,OJMA,,7.9,8.4,11304IF,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456508.68611,8.1,,,Vis.,MDEN,,7.9,8.4,11266HO,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456509.3,7.9,,,Vis.,SJQ,Z,86,,1834FR,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456509.33,8.4,,,Vis.,BQ,L,6.4,8.7,5621eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456509.36875,7.7,,,Vis.,CPE,,73,79,2296fcr,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456509.377,7.5,,,Vis.,MZS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456509.39583,8.1,,,Vis.,AJV,,"""72,80""",83,AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2456509.4146,7.9,,,Vis.,VFK,,72,80,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456509.45972,8.15,,,Vis.,KKAA,,79,84,11282BOQ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456509.579,8.4,,,Vis.,MHH,,7.9,8.4,10837cvo,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456509.59792,8.2,,,Vis.,MDP,,79,84,1264nui,,,,Z,,,,Z UMA,RASC,STD,,,,
2456509.6,8.2,,,Vis.,MOW,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456509.79167,8,,,Vis.,SHA,,7.3,8.4,12061MN,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456510.33,8.3,,,Vis.,BQ,L,7.5,8.4,5821eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456510.3465,8.1,,,Vis.,DNO,,79,84,12300AF,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456510.34861,8.2,,,Vis.,RZM,,79,84,1038gdt,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456510.3492,8.2,,,Vis.,DAT,,7.9,8.4,1285TLO,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456510.41,8,,,Vis.,FNAA,,,,217.02,B10x50,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456510.4146,7.9,,,Vis.,VFK,,77,82,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456510.427,7.6,,,Vis.,HUR,,C-1,,217.02,0,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2456510.431,7.7,,,Vis.,MEAJ,U,,,217.02,B20X60,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456511.31,8.2,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456511.32,8.6,,,Vis.,BQ,L,8.5,8.7,5621eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456511.3333,7.7,,,Vis.,PLP,,73,79,1009VVX,,,,Z,,,,Z UMa,,STD,,,,
2456511.3793,8.2,,,Vis.,DAT,,7.9,8.4,1285TLO,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456511.4,7.7,,,Vis.,TPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456511.401,8.2,,,Vis.,SJDA,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456511.5,8.2,,,Vis.,SHS,,79,84,6900QQ,,,,Z,,,,Z UMa,AAVSO,STD,,,,
2456511.59375,8,,,Vis.,ONJ,,79,84N,10406IOM,,,,Z,,,,Z UMA,,STD,,,,
2456512.3,7.8,,,Vis.,KOS,,7.3,7.9,1115ewe,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456512.319,8,,,Vis.,ATI,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456512.32,8.6,,,Vis.,BQ,,8.5,8.7,5621eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456512.425,7.7,,,Vis.,HUR,,C-2,,217.02,0,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2456512.46,8.2,,,Vis.,KAF,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456513.31,8.3,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456513.33,8.6,,,Vis.,BQ,L,8.5,8.7,5821eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456513.36736,7.75,,,Vis.,SJAT,,79,73,AAVSO chart 12/97,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456513.42153,8,,,Vis.,CQP,,80,83,AFOEV(B),,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456513.59097,8.1,,,Vis.,CKB,,79,84,120714,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456514.3,8.3,,,Vis.,SLY,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456514.3653,8.1,,,Vis.,HGUA,,79,84,5749GD,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456514.3875,8.2,,,Vis.,LCR,,80,"""83,86""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2456514.3972,7.8,,,Vis.,VFK,,72,80,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456514.4,7.9,,,Vis.,SYU,,79,84,10792AOL,,,,Z,,,,Z UMA,BAV,STD,,,,
2456514.4,8.1,,,Vis.,PEG,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2456514.4,8,,,Vis.,VED,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2456514.4375,8.2,,,Vis.,KKAA,,79,84,11282BOQ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456514.49306,8.3,,,Vis.,AJV,,"""72,80""",86,AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2456515.3438,8.2,,,Vis.,ACO,B,80,88,AAVSO,,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2456515.39028,8.4,,,Vis.,KJAE,,84,87,8643BO,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456515.45833,8.7,,,Vis.,CGRA,,8.4,9.9,12202OK,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456515.592,8.6,,,Vis.,MHH,,8.4,8.7,10837cvo,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456515.6,8.1,,,Vis.,MDP,L,79,84,1264nui,in trees,,,Z,,,,Z UMA,RASC,STD,,,,
2456515.71319,8.2,,,Vis.,MDEN,,7.9,8.4,11266HO,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456515.74931,8,,,Vis.,BBA,,7.9,8.4,6585AB,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456516.34,8,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456516.3493,8.2,,,Vis.,DNO,,79,84,12496CM,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456516.354,8.1,,,Vis.,MZS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456516.36875,8.2,,,Vis.,BBI,,79,84,10241AVG,,,,Z,,,,Z UMA,VVS,STD,,,,
2456516.3847,8.2,,,Vis.,VFK,,80,84,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456516.394,8.2,,,Vis.,SJDA,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456516.433,8.4,,,Vis.,BLQ,,,,217.02,"""mean magnitude, magnification x16; R105""",,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456516.5,8.2,,,Vis.,SHS,,79,84,6900QQ,,,,Z,,,,Z UMa,AAVSO,STD,,,,
2456517.32,8.1,,,Vis.,HDH,,79,84,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456517.33,8.6,,,Vis.,BQ,L,8.5,8.7,5621eq,3in 23x,,,Z,,,,Z UMA,MCSE,STD,,,,
2456517.409,7.8,,,Vis.,HUR,,C-3,,217.02,0,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2456517.4111,8.2,,,Vis.,HGUA,,79,84,5749GD,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456517.64306,8.2,,,Vis.,MCPA,,84,79,11282CSP,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456517.66667,8.3,,,Vis.,DMPA,L,84,79,12482CRX,,,,Z,,,,Z UMA,,STD,,,,
2456518.3453,8.15,,,Vis.,DAT,,7.9,8.4,1285TLO,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456518.4132,8.2,,,Vis.,BVE,,80,87,70924,,,,Z,,,,Z UMA,KNVWS,STD,,,,
2456519.37,8.3,,,Vis.,KAF,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456519.4,8.2,,,Vis.,SYU,,73,79,10792AOL,,,,Z,,,,Z UMA,BAV,STD,,,,
2456519.4,8.1,,,Vis.,PEG,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2456519.41528,7.9,,,Vis.,SJAT,,79,,AAVSO chart 12/97,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456519.4236,8.2,,,Vis.,VFK,,80,84,3722WFU,108/440,,,Z,,,,Z UMA,BAV,STD,,,,
2456519.47917,8.3,,,Vis.,AJV,,80,"""86,89""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2456519.58681,8.4,,,Vis.,SHA,,8.4,7.3,12061MN,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456519.59653,8.3,,,Vis.,SLH,,7.9,8.4,12004 asu,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456519.6,8.2,,,Vis.,BRJ,,79,84,8606GE,,,,Z,,,,Z UMa,,STD,,,,
2456519.6,8.5,,,Vis.,MOW,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456520.3,8.3,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456520.3,8,,,Vis.,KOS,,7.9,8.4,1115ewe,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456520.32847,8.2,,,Vis.,RZM,,79,84,1038gdt,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456520.3299,8.2,,,Vis.,DNO,,79,84,12496CM,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456520.3556,8.15,,,Vis.,DAT,,7.9,8.4,1285TLO,,,,Z,,,,Z UMA,AAVSO,STD,,,,
