JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456851.5,6.3,,,Vis.,SHS,,58,64,6900QQ,,,,Z,,,,Z UMa,AAVSO,STD,,,,
2456851.65833,6.3,,,Vis.,MCPA,B,63,73,11282CSP,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456852.426,6.9,,,Vis.,SJDA,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456852.434,6.6,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456852.441,7,,,Vis.,MTON,B,,,217.02,11x80B,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456852.45,6.7,,,Vis.,SDAB,B,63,68,11364EZ,,,,Z,,,,Z UMA,,STD,,,,
2456852.6,6.8,,,Vis.,MOW,,63,68,13300CZR,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456853.40903,6.6,,,Vis.,BBI,,63,73,10241AVG,,,,Z,,,,Z UMA,VVS,STD,,,,
2456853.78958,6.5,,,Vis.,BBA,UB,6.3,67,12694ANC,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456854.34,6.4,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456854.3736,6.5,,,Vis.,PLP,,64,68,1009VWA,,,,Z,,,,Z UMa,,STD,,,,
2456854.38,7.1,,,Vis.,HDH,,68,73,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456854.3819,6.8,,,Vis.,VFK,,58,73,3722WFU,LEIPZIG 113/450,,,Z,,,,Z UMA,BAV,STD,,,,
2456854.4,6.5,,,Vis.,SLY,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456854.465,6.8,,,Vis.,MEAJ,,,,217.02,B20X60,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456854.476,6.8,,,Vis.,BLQ,,,,217.02,"""Moon, Mean Magnitude; OG 50x9""",,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456854.50694,6.6,,,Vis.,AJV,,"""59,65""","""72,80""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2456855.38958,6.8,,,Vis.,KHL,,63,73,12652BBP,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456855.4035,6.7,,,Vis.,HGUA,,64,73,5749GD,,,,Z,,,,Z UMA,SAAF,STD,,,,
2456855.41181,6.7,,,Vis.,CLAC,B,5.8,7.3,12582DLP,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456855.42,6.8,,,Vis.,CJE,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2456855.44583,6.7,,,Vis.,KKAA,,63,73,11282BOE,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456855.45208,6.862,,,Vis.,LDS,,,,217.02,10 images per measurement; 200mmlens,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456855.45833,6.8,,,Vis.,RZM,,63,73,1038gdt,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456855.4764,6.7,,,Vis.,BHS,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456855.477,6.9,,,Vis.,TOO,,,,217.02,B7X50,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456856.35575,6.74,0.01,,CV,FGIA,,ensemble,000-BBS-503,6958ART,,0,1.41,Z,,8.18,,Z UMA,UAI,STD,,,,
2456856.3639,6.8,,,Vis.,VFK,,58,73,3722WFU,LEIPZIG 113/450,,,Z,,,,Z UMA,BAV,STD,,,,
2456856.36806,6.7,,,Vis.,CPE,,63,73,13494AEE,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456856.6,6.8,,,Vis.,BRJ,,64,73,8606GE,,,,Z,,,,Z UMa,,STD,,,,
2456856.6125,6.8,,,Vis.,PKV,,64,73,3280cnl,,,,Z,,,,Z UMA,AAVSO,STD,,,,
