Observer,Magnitude,JD
DAA,7.3,2426076.3
LTG,7.2,2426089.4
JCC,7.4,2426094.4
JCC,7.4,2426099.4
DAA,7.4,2426108.4
JCC,7.5,2426108.4
DAA,7.5,2426111.4
JCC,7.4,2426114.4
DAA,7.5,2426117.4
DAA,7.5,2426121.4
JCC,7.2,2426123.4
DAA,7.3,2426126.4
JCC,7.2,2426126.4
DAA,7.2,2426128.4
JCC,7.2,2426129.4
JCC,7.7,2426143.4
JCC,7.8,2426144.4
JCC,7.9,2426146.4
JCC,7.9,2426148.5
JCC,8.0,2426150.4
DAA,8.2,2426153.4
JCC,8.1,2426153.4
DAA,8.2,2426156.4
JCC,8.1,2426156.4
JCC,8.3,2426163.4
JCC,8.2,2426171.4
JCC,8.2,2426173.4
DAA,8.1,2426174.4
DAA,8.1,2426175.4
MZZ,8.0,2426175.4
DAA,8.2,2426176.4
DAA,8.1,2426179.4
JCC,8.0,2426179.4
JCC,8.0,2426180.4
DAA,8.0,2426183.4
DAA,7.9,2426184.4
JCC,7.7,2426184.4
JCC,7.7,2426186.4
DAA,7.6,2426187.4
JCC,7.6,2426187.4
JCC,7.6,2426188.4
DAA,7.5,2426189.4
JCC,7.6,2426189.4
DAA,7.7,2426190.4
DAA,7.7,2426191.4
JCC,7.6,2426192.4
DAA,7.6,2426193.4
JCC,7.6,2426194.4
DAA,7.4,2426199.4
DAA,7.5,2426200.4
JCC,7.8,2426203.4
JCC,7.8,2426204.4
DAA,7.3,2426205.4
JCC,7.8,2426205.4
DAA,7.2,2426206.4
JCC,8.0,2426206.4
DAA,7.3,2426207.4
JCC,8.0,2426207.4
DAA,7.3,2426208.4
JCC,8.0,2426208.4
JCC,7.7,2426210.4
JCC,7.8,2426212.4
JCC,7.9,2426213.4
JCC,8.0,2426214.4
JCC,8.0,2426215.4
JCC,7.9,2426216.4
JCC,7.9,2426217.4
DAA,7.5,2426218.4
DAA,7.6,2426219.3
DAA,7.6,2426221.4
LTG,7.8,2426232.3
LTG,8.0,2426238.3
LTG,7.9,2426239.3
LTG,7.8,2426241.3
LTG,7.8,2426242.3
DAA,7.4,2426264.3
LTG,7.7,2426265.3
LTG,7.8,2426271.6
LTG,7.6,2426272.2
LTG,7.8,2426272.6
LTG,7.6,2426274.3
LTG,7.4,2426277.4
LTG,7.6,2426277.4
LTG,7.5,2426278.2
LTG,7.8,2426278.6
DAA,7.6,2426291.2
LTG,7.6,2426291.2
DAA,7.7,2426293.2
LTG,7.6,2426293.3
LTG,7.6,2426293.6
DAA,7.6,2426294.4
LTG,7.7,2426295.4
DAA,7.9,2426304.2
LTG,7.8,2426304.2
LTG,7.8,2426304.5
DAA,7.8,2426322.3
LTG,7.9,2426326.2
LTG,7.8,2426328.7
LTG,7.8,2426329.7
JCC,7.9,2426350.4
JCC,7.9,2426351.4
JCC,8.0,2426358.4
LTG,8.0,2426359.7
DAA,7.9,2426361.3
JCC,8.1,2426361.5
LTG,8.1,2426367.7
JCC,7.9,2426382.4
LTG,8.0,2426382.4
LTG,7.9,2426383.5
LTG,7.9,2426397.5
LTG,8.1,2426409.3
JCC,8.0,2426412.4
LTG,7.9,2426412.4
LTG,8.1,2426418.3
LTG,8.0,2426422.3
JCC,7.9,2426422.4
JCC,7.8,2426424.3
LTG,7.9,2426424.3
LTG,7.9,2426425.3
JCC,8.0,2426425.4
JCC,7.9,2426428.4
LTG,7.8,2426440.4
LTG,7.8,2426441.4
TWG,8.1,2426443.5
JCC,8.0,2426444.4
LTG,7.7,2426446.3
JCC,8.0,2426446.4
JCC,7.8,2426455.4
JCC,7.8,2426458.3
JCC,7.8,2426459.4
JCC,7.8,2426460.3
TWG,7.9,2426467.4
TWG,7.9,2426468.4
TWG,7.8,2426469.5
TWG,7.8,2426471.5
JCC,7.9,2426474.4
LTG,7.7,2426474.4
TWG,7.8,2426474.4
JCC,7.9,2426475.4
JCC,7.9,2426476.4
LTG,7.5,2426477.4
JCC,7.7,2426477.5
TWG,7.8,2426480.5
LTG,7.6,2426482.4
JCC,7.7,2426483.4
JCC,7.8,2426484.4
JCC,7.8,2426485.4
JCC,7.8,2426486.4
