# Bayo et al, M types from Collinder 69	
# spty = M7.0  (Spectral type)	
#	
wavelength	flux
#     (ANGSTROM)	#    (ERG/CM2/S/A)
6824.587134	7.588438E-18
6826.452763	7.901053E-18
6828.318392	9.895144E-18
6830.184021	8.555776E-18
6832.04965	8.000792E-18
6833.915279	9.204068E-18
6835.780908	8.994929E-18
6837.646537	1.060761E-17
6839.512166	1.003638E-17
6841.377795	8.315758E-18
6843.243424	8.706382E-18
6845.109053	8.220128E-18
6846.974682	8.259604E-18
6848.840311	7.948971E-18
6850.70594	5.708526E-18
6852.571569	6.531714E-18
6854.437198	7.518839E-18
6856.302827	6.763382E-18
6858.168456	9.723344E-18
6860.034084	9.806246E-18
6861.899713	8.013906E-18
6863.765342	7.205087E-18
6865.630971	6.748254E-18
6867.4966	6.63186E-18
6869.362229	6.567948E-18
6871.227858	8.187531E-18
6873.093487	9.933791E-18
6874.959116	8.739705E-18
6876.824745	9.653448E-18
6878.690374	8.876191E-18
6880.556003	7.570608E-18
6882.421632	9.445221E-18
6884.287261	9.254988E-18
6886.15289	8.127543E-18
6888.018519	9.166186E-18
6889.884148	9.108211E-18
6891.749777	9.037563E-18
6893.615406	8.100832E-18
6895.481035	8.364158E-18
6897.346664	1.151572E-17
6899.212293	1.141416E-17
6901.077922	1.080203E-17
6902.943551	1.157404E-17
6904.80918	1.264878E-17
6906.674809	1.00673E-17
6908.540438	9.931666E-18
6910.406067	1.144506E-17
6912.271696	1.023029E-17
6914.137325	8.0559E-18
6916.002954	1.017063E-17
6917.868582	1.1121E-17
6919.734211	1.215425E-17
6921.59984	9.094878E-18
6923.465469	1.176958E-17
6925.331098	1.300657E-17
6927.196727	1.234397E-17
6929.062356	1.451381E-17
6930.927985	1.601576E-17
6932.793614	1.331822E-17
6934.659243	1.41198E-17
6936.524872	1.444055E-17
6938.390501	1.40681E-17
6940.25613	1.705295E-17
6942.121759	1.669942E-17
6943.987388	1.862317E-17
6945.853017	1.616172E-17
6947.718646	1.533171E-17
6949.584275	1.352788E-17
6951.449904	1.351795E-17
6953.315533	1.305323E-17
6955.181162	1.707735E-17
6957.046791	1.601214E-17
6958.91242	1.606972E-17
6960.778049	1.73576E-17
6962.643678	1.5651E-17
6964.509307	1.592236E-17
6966.374936	1.619305E-17
6968.240565	1.745036E-17
6970.106194	1.653062E-17
